A011150,CJ씨푸드
A011155,CJ씨푸드1우
A097950,CJ제일제당
A097955,CJ제일제당 우
A023150,MH에탄올
A005610,SPC삼립
A002140,고려산업
A003920,남양유업
A003925,남양유업우
A004370,농심
A001680,대상
A001685,대상우
A001790,대한제당
A001799,대한제당3우B
A001795,대한제당우
A001130,대한제분
A049770,동원F&B
A280360,롯데제과
A005300,롯데칠성
A005305,롯데칠성우
A002270,롯데푸드
A027740,마니커
A033920,무학
A000890,보해양조
A005180,빙그레
A003960,사조대림
A008040,사조동아원
A014710,사조씨푸드
A006090,사조오양
A145990,삼양사
A145995,삼양사우
A003230,삼양식품
A248170,샘표식품
A004410,서울식품
A004415,서울식품우
A136490,선진
A007310,오뚜기
A271560,오리온
A006980,우성사료
A002600,조흥
A264900,크라운제과
A26490K,크라운제과우
A036580,팜스코
A017810,풀무원
A000080,하이트진로
A000087,하이트진로2우B
A003680,한성기업
A101530,해태제과식품
