A155660,DSR
A069730,DSR제강
A001940,KISCO홀딩스
A008260,NI스틸
A005490,POSCO
A002710,TCC스틸
A010130,고려아연
A002240,고려제강
A014280,금강공업
A014285,금강공업우
A008350,남선알미늄
A008355,남선알미우
A009190,대양금속
A012800,대창
A084010,대한제강
A069460,대호에이엘
A001230,동국제강
A016380,동부제철
A016385,동부제철우
A008970,동양철관
A004890,동일산업
A002690,동일제강
A024090,디씨엠
A001080,만호제강
A008420,문배철강
A026940,부국철강
A006110,삼아알미늄
A021050,서원
A001430,세아베스틸
A306200,세아제강
A019440,세아특수강
A058650,세아홀딩스
A001770,신화실업
A001780,알루코
A000670,영풍
A012160,영흥철강
A025820,이구산업
A018470,조일알미늄
A058430,포스코강판
A103140,풍산
A071090,하이스틸
A000970,한국주철관
A104700,한국철강
A007280,한국특수형강
A002220,한일철강
A004560,현대비앤지스틸
A004565,현대비앤지스틸우
A004020,현대제철
A133820,화인베스틸
A032560,황금에스티
A005010,휴스틸
