A000990,DB하이텍
A000995,DB하이텍1우
A092220,KEC
A034220,LG디스플레이
A011070,LG이노텍
A066570,LG전자
A066575,LG전자우
A010120,LS산전
A000660,SK하이닉스
A000500,가온전선
A009450,경동나비엔
A009140,경인전자
A017040,광명전기
A017900,광전자
A001210,금호전기
A008060,대덕전자
A00806K,대덕전자1우
A008110,대동전자
A006340,대원전선
A006345,대원전선우
A000300,대유플러스
A001440,대한전선
A192650,드림텍
A007340,디티알오토모티브
A026890,디피씨
A006400,삼성SDI
A006405,삼성SDI우
A009150,삼성전기
A009155,삼성전기우
A005930,삼성전자
A005935,삼성전자우
A005680,삼영전자
A009470,삼화전기
A011230,삼화전자
A001820,삼화콘덴서
A007610,선도전기
A014910,성문전자
A014915,성문전자우
A004490,세방전지
A029530,신도리코
A011930,신성이엔지
A004770,써니전자
A008700,아남전자
A015260,에이엔피
A103130,웅진에너지
A011690,유양디앤유
A007660,이수페타시스
A020760,일진디스플
A020150,일진머티리얼즈
A103590,일진전기
A033240,자화전자
A044380,주연테크
A007815,코리아써우
A007810,코리아써키트
A00781K,코리아써키트2우B
A019180,티에이치엔
A004870,티웨이홀딩스
A007630,폴루스바이오팜
A033180,필룩스
A019490,하이트론
A025540,한국단자
A004710,한솔테크닉스
A195870,해성디에스
A267260,현대일렉트릭
A298040,효성중공업
A005870,휴니드
