A000040,KR모터스
A064960,S&T모티브
A003570,S&T중공업
A001380,SG충방
A123700,SJM
A214330,금호에이치티
A000270,기아차
A009320,대우부품
A042660,대우조선해양
A000430,대원강업
A002880,대유에이텍
A015230,대창단조
A024900,덕양산업
A092780,동양피스톤
A018500,동원금속
A016740,두올
A092200,디아이씨
A204320,만도
A009680,모토닉
A005030,부산주공
A006660,삼성공조
A010140,삼성중공업
A010145,삼성중공우
A023000,삼원강재
A041650,상신브레이크
A075180,새론오토모티브
A200880,서연이화
A021820,세원정공
A033530,세종공업
A075580,세진중공업
A003620,쌍용차
A005850,에스엘
A012280,영화금속
A002920,유성기업
A023800,인지컨트롤스
A023810,인팩
A013870,지엠비코리아
A010580,지코
A033250,체시스
A001620,케이비아이동국실업
A004100,태양금속
A004105,태양금속우
A001420,태원물산
A090080,평화산업
A010770,평화홀딩스
A009540,한국조선해양
A010100,한국프랜지
A047810,한국항공우주
A012450,한화에어로스페이스
A143210,핸즈코퍼레이션
A064350,현대로템
A012330,현대모비스
A010620,현대미포조선
A011210,현대위아
A005380,현대차
A005387,현대차2우B
A005389,현대차3우B
A005385,현대차우
A013520,화승알앤에이
A010690,화신
,
,
,
,
,
,
