A282330,BGF리테일
A001530,DI동일
A017940,E1
A001250,GS글로벌
A007070,GS리테일
A001120,LG상사
A000680,LS네트웍스
A004060,SG세계물산
A025530,SJM홀딩스
A018670,SK가스
A001740,SK네트웍스
A001745,SK네트웍스우
A011810,STX
A000050,경방
A037710,광주신세계
A005320,국동
A004270,남성
A006370,대구백화점
A128820,대성산업
A026960,동서
A023530,롯데쇼핑
A071840,롯데하이마트
A005360,모나미
A101140,비티원
A028260,삼성물산
A02826K,삼성물산우B
A002810,삼영무역
A013000,세우글로벌
A067830,세이브존I&C
A005390,신성통상
A004170,신세계
A031430,신세계인터내셔날
A006880,신송홀딩스
A002700,신일산업
A004080,신흥
A122900,아이마켓코리아
A138250,엔에스쇼핑
A009810,엔케이물산
A111770,영원무역
A118000,우리들휴브레인
A010600,웰바이오텍
A008600,윌비스
A077500,유니퀘스트
A139480,이마트
A093230,이아이디
A000760,이화산업
A007110,일신석재
A088790,진도
A047050,포스코인터내셔널
A123690,한국화장품
A009240,한샘
A069640,한세엠케이
A010420,한솔PNS
A005110,한창
A027390,한화갤러리아타임월드
A005440,현대그린푸드
A069960,현대백화점
A011760,현대상사
A227840,현대코퍼레이션홀딩스
A057050,현대홈쇼핑
A003010,혜인
A008770,호텔신라
A008775,호텔신라우
A081660,휠라코리아
,
,
